Property_ID,Date,Region,SquareFeet,Occupancy_Count,Occupancy_Rate,Underutilized,Lease_Start,Lease_End,Property_Name,Days_Until_Lease_End,Lease_At_Risk,Monthly_Rent,Revenue_At_Risk,Renewal_Probability
PROP_1000,2025-06-01,Southwest,24397,122,0.75,False,2019-04-23,2020-08-30,Northgate Tech Park,-1742,False,48046.52,12011.63,0.58
PROP_1000,2025-06-02,Southwest,24397,88,0.54,False,2019-04-23,2020-08-30,Northgate Tech Park,-1742,False,48046.52,22101.4,0.9
PROP_1000,2025-06-03,Southwest,24397,27,0.17,True,2019-04-23,2020-08-30,Northgate Tech Park,-1742,True,48046.52,39878.61,0.14
PROP_1000,2025-06-04,Southwest,24397,65,0.4,False,2019-04-23,2020-08-30,Northgate Tech Park,-1742,False,48046.52,28827.91,0.89
PROP_1000,2025-06-05,Southwest,24397,162,1.0,False,2019-04-23,2020-08-30,Northgate Tech Park,-1742,False,48046.52,0.0,0.67
PROP_1000,2025-06-06,Southwest,24397,4,0.02,True,2019-04-23,2020-08-30,Northgate Tech Park,-1742,True,48046.52,47085.59,0.11
PROP_1000,2025-06-07,Southwest,24397,44,0.27,True,2019-04-23,2020-08-30,Northgate Tech Park,-1742,True,48046.52,35073.96,0.36
PROP_1001,2025-06-01,West,51555,302,0.88,False,2021-06-08,2024-08-20,Summit Exchange,-291,False,101530.45,12183.65,0.64
PROP_1001,2025-06-02,West,51555,286,0.83,False,2021-06-08,2024-08-20,Summit Exchange,-291,False,101530.45,17260.18,0.71
PROP_1001,2025-06-03,West,51555,9,0.03,True,2021-06-08,2024-08-20,Summit Exchange,-291,True,101530.45,98484.54,0.13
PROP_1001,2025-06-04,West,51555,194,0.57,False,2021-06-08,2024-08-20,Summit Exchange,-291,False,101530.45,43658.09,0.59
PROP_1001,2025-06-05,West,51555,117,0.34,True,2021-06-08,2024-08-20,Summit Exchange,-291,True,101530.45,67010.1,0.14
PROP_1001,2025-06-06,West,51555,269,0.78,False,2021-06-08,2024-08-20,Summit Exchange,-291,False,101530.45,22336.7,0.86
PROP_1001,2025-06-07,West,51555,79,0.23,True,2021-06-08,2024-08-20,Summit Exchange,-291,True,101530.45,78178.45,0.46
PROP_1002,2025-06-01,Midwest,56959,92,0.24,True,2020-07-11,2024-10-17,Northgate Offices,-233,True,112172.88,85251.39,0.15
PROP_1002,2025-06-02,Midwest,56959,265,0.7,False,2020-07-11,2024-10-17,Northgate Offices,-233,False,112172.88,33651.86,0.64
PROP_1002,2025-06-03,Midwest,56959,331,0.87,False,2020-07-11,2024-10-17,Northgate Offices,-233,False,112172.88,14582.47,0.59
PROP_1002,2025-06-04,Midwest,56959,349,0.92,False,2020-07-11,2024-10-17,Northgate Offices,-233,False,112172.88,8973.83,0.81
PROP_1002,2025-06-05,Midwest,56959,360,0.95,False,2020-07-11,2024-10-17,Northgate Offices,-233,False,112172.88,5608.64,0.65
PROP_1002,2025-06-06,Midwest,56959,256,0.68,False,2020-07-11,2024-10-17,Northgate Offices,-233,False,112172.88,35895.32,0.94
PROP_1002,2025-06-07,Midwest,56959,132,0.35,True,2020-07-11,2024-10-17,Northgate Offices,-233,True,112172.88,72912.37,0.22
PROP_1003,2025-06-01,West,10728,19,0.27,True,2019-02-24,2022-09-16,Westfield Business Park,-995,True,21127.31,15422.94,0.19
PROP_1003,2025-06-02,West,10728,7,0.1,True,2019-02-24,2022-09-16,Westfield Business Park,-995,True,21127.31,19014.58,0.34
PROP_1003,2025-06-03,West,10728,42,0.59,False,2019-02-24,2022-09-16,Westfield Business Park,-995,False,21127.31,8662.2,0.86
PROP_1003,2025-06-04,West,10728,0,0.0,True,2019-02-24,2022-09-16,Westfield Business Park,-995,True,21127.31,21127.31,0.4
PROP_1003,2025-06-05,West,10728,56,0.79,False,2019-02-24,2022-09-16,Westfield Business Park,-995,False,21127.31,4436.74,0.69
PROP_1003,2025-06-06,West,10728,63,0.89,False,2019-02-24,2022-09-16,Westfield Business Park,-995,False,21127.31,2324.0,0.95
PROP_1003,2025-06-07,West,10728,27,0.38,True,2019-02-24,2022-09-16,Westfield Business Park,-995,True,21127.31,13098.93,0.34
PROP_1004,2025-06-01,West,60517,120,0.3,True,2018-06-06,2022-02-15,Summit Exchange,-1208,True,119179.87,83425.91,0.15
PROP_1004,2025-06-02,West,60517,106,0.26,True,2018-06-06,2022-02-15,Summit Exchange,-1208,True,119179.87,88193.1,0.27
PROP_1004,2025-06-03,West,60517,174,0.43,False,2018-06-06,2022-02-15,Summit Exchange,-1208,False,119179.87,67932.53,0.85
PROP_1004,2025-06-04,West,60517,203,0.5,False,2018-06-06,2022-02-15,Summit Exchange,-1208,False,119179.87,59589.94,0.78
PROP_1004,2025-06-05,West,60517,164,0.41,False,2018-06-06,2022-02-15,Summit Exchange,-1208,False,119179.87,70316.12,0.65
PROP_1004,2025-06-06,West,60517,304,0.75,False,2018-06-06,2022-02-15,Summit Exchange,-1208,False,119179.87,29794.97,0.89
PROP_1004,2025-06-07,West,60517,119,0.3,True,2018-06-06,2022-02-15,Summit Exchange,-1208,True,119179.87,83425.91,0.47
PROP_1005,2025-06-01,Southeast,76234,43,0.08,True,2019-07-04,2021-01-01,Brookstone Commons,-1618,True,150132.33,138121.74,0.33
PROP_1005,2025-06-02,Southeast,76234,311,0.61,False,2019-07-04,2021-01-01,Brookstone Commons,-1618,False,150132.33,58551.61,0.76
PROP_1005,2025-06-03,Southeast,76234,155,0.31,True,2019-07-04,2021-01-01,Brookstone Commons,-1618,True,150132.33,103591.31,0.47
PROP_1005,2025-06-04,Southeast,76234,366,0.72,False,2019-07-04,2021-01-01,Brookstone Commons,-1618,False,150132.33,42037.05,0.77
PROP_1005,2025-06-05,Southeast,76234,206,0.41,False,2019-07-04,2021-01-01,Brookstone Commons,-1618,False,150132.33,88578.07,0.51
PROP_1005,2025-06-06,Southeast,76234,389,0.77,False,2019-07-04,2021-01-01,Brookstone Commons,-1618,False,150132.33,34530.44,0.55
PROP_1005,2025-06-07,Southeast,76234,107,0.21,True,2019-07-04,2021-01-01,Brookstone Commons,-1618,True,150132.33,118604.54,0.11
PROP_1006,2025-06-01,Midwest,49954,250,0.75,False,2022-01-04,2025-09-12,Summit Commerce Center,97,False,98377.5,24594.38,0.59
PROP_1006,2025-06-02,Midwest,49954,333,1.0,False,2022-01-04,2025-09-12,Summit Commerce Center,97,False,98377.5,0.0,0.71
PROP_1006,2025-06-03,Midwest,49954,129,0.39,True,2022-01-04,2025-09-12,Summit Commerce Center,97,False,98377.5,60010.28,0.84
PROP_1006,2025-06-04,Midwest,49954,292,0.88,False,2022-01-04,2025-09-12,Summit Commerce Center,97,False,98377.5,11805.3,0.91
PROP_1006,2025-06-05,Midwest,49954,19,0.06,True,2022-01-04,2025-09-12,Summit Commerce Center,97,False,98377.5,92474.85,0.88
PROP_1006,2025-06-06,Midwest,49954,281,0.84,False,2022-01-04,2025-09-12,Summit Commerce Center,97,False,98377.5,15740.4,0.59
PROP_1006,2025-06-07,Midwest,49954,284,0.85,False,2022-01-04,2025-09-12,Summit Commerce Center,97,False,98377.5,14756.63,0.7
PROP_1007,2025-06-01,Midwest,57280,0,0.0,True,2021-01-25,2023-01-23,Oakridge Exchange,-866,True,112805.04,112805.04,0.28
PROP_1007,2025-06-02,Midwest,57280,118,0.31,True,2021-01-25,2023-01-23,Oakridge Exchange,-866,True,112805.04,77835.48,0.32
PROP_1007,2025-06-03,Midwest,57280,34,0.09,True,2021-01-25,2023-01-23,Oakridge Exchange,-866,True,112805.04,102652.59,0.44
PROP_1007,2025-06-04,Midwest,57280,197,0.52,False,2021-01-25,2023-01-23,Oakridge Exchange,-866,False,112805.04,54146.42,0.53
